chips,bag_of_potato_chips
clothespants,pants
clothesshirt,shirt
crackers,cracker
crayons,crayon
creamybuns,donut
curtains,curtain
disinfectant_wipes,disinfectant_wipe
kitchencabinets,kitchen_cabinet
kitchencounter,kitchen_counter
kitchentable,kitchen_table
kitchentowel,kitchen_towel
knifeblock,knife_block
laundrybasket,laundry_basket
lotionbottle,lotion_bottle
mincedmeat,ground_beef
notes,notepad
painkillers,medicine_bottle
scouringpad,scouring_pad
slippers,slipper
toiletpaper,toilet_paper
toothbrush,tooth_brush
toothpaste,tooth_paste_tube
walllamp,wall_lamp
wallphone,wall_phone
wall_pictureframe,wall_decor
wallshelf,wall_shelf
washingsponge,washing_sponge
whippedcream,whipped_cream_container
wineglass,wine_glass
cutleryfork,fork
cutleryknife,knife
coffeepot,coffee_pot
coffeetable,coffee_table
closetdrawer,closet_drawer
bathroomcabinet,bathroom_cabinet
bathroomcounter,bathroom_counter
bottlebrush,bottle_brush
bottlewater,bottle_water
breadslice,bread_slice
candybar,candy_bar
ceilingfan,ceiling_fan
ceilinglamp,ceiling_lamp
chocolatesyrup,chocolate_syrup_bottle
standingmirror,mirror
notbroken,not_broken
plugin,plug_in
pickup,pick_up
switchon,switch_on
switchoff,switch_off
barsoap,soap_bar
boardgame,board_game
cellphone,cell_phone
chinesefood,chinese_food_container
clothespile,clothes_pile
coatrack,coat_rack
coffeemaker,coffee_maker
condimentbottle,ketchup_bottle
condimentshaker,salt_shaker
cookingpot,cooking_pot
cpuscreen,computer_monitor
cuttingboard,cutting_board
dishbowl,dish_bowl
dishtowel,dish_towel
dishwashingliquid,bottle_of_dishwashing_liquid
doorjamb,door_stop
dustbrush,dust_brush
facecream,face_cream_container
featherduster,feather_duster
fryingpan,frying_pan
garbagecan,garbage_can
hairproduct,shampoo_bottle
magiceraser,foam_sponge
mousemat,mouse_pad
oventray,oven_tray
papertowel,paper_towel
papertray,paper_tray
photoframe,photo_frame
poundcake,cake
recycle_bin,recycle_bin
remotecontrol,remote_control
rubbishbin,rubbish_bin
salmon,salmon_fillet
chicken,chicken_breast
sportsball,sports_ball
steammop,steam_mop
steelwool,steel_wool
tablelamp,table_lamp
teddybear,teddy_bear
towelrolled,cleaning_rag
trashbag,trash_bag
trashcan,trash_can
tvstand,tv_stand
wall_pictureframe,wall_decor
washcloth,wash_cloth
washingmachine,washing_machine
waterglass,water_glass
whiskbroom,whisk_broom
cutlets,steak
put,place
wine,wine_glass
glasses,eye_glasses
perfume,perfume_bottle
toy,doll
milk,milk_jug
wine,wine_bottle
game,card_game
alcohol,glass_liquor_bottle
detergent,detergent_container
multicleaner,multicleaner_bottle
juice,juice_carton
paper,sheet_of_paper
speaker,computer_speaker
bleach,bottle_of_bleach
guitar,acoustic_guitar
radio,battery_radio
sundae,ice_cream_sundae
longboard,skateboard
